Exercise Name;Crossfit Session Name;Type of Activity;Type of Equipment;Body Part;Type;Muscle Groups Activated;Instructions
Scapular Pull-Up;Gymnastics;Strength;Barbell;Upper body;Stretch;Core, Shoulders;Make sure to use explosive power when needed, especially for dynamic exercises.
Weighted Step-Ups;Strength;Strength;Barbell;Full body;Push;Core, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
Deadlift;Olympic Weightlifting;Warm-up;Dumbbells;Full body;Pull;Core, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Strict Ring Muscle-Ups;Aerobic Body Building;Mobility;Barbell;Full body;Stretch;Shoulders, Triceps;Maintain a strong core throughout the exercise for better stability.
Kettlebell Snatch;Crossfit;Cardio;Medicine Ball;Full body;Push;Core, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Ski Erg Sprints;Aerobic Body Building;Mobility;Bodyweight;Upper body;Pull;Quads, Glutes;Stretch before and after this exercise for better mobility and recovery.
Overhead Press;Gymnastics;Cardio;Medicine Ball;Lower body;Pull;Core, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
Ski Erg Sprints;Conditioning;Strength;Medicine Ball;Upper body;Hold;Lats, Biceps;Perform the movement with a full range of motion while maintaining proper posture.
Goblet Squat;Olympic Weightlifting;Strength;Bodyweight;Full body;Pull;Lower Back, Core;Perform the movement with a full range of motion while maintaining proper posture.
Dumbbell Power Clean;Crossfit;Cardio;Pull-up Bar;Upper body;Hold;Biceps, Shoulders;Keep your back straight and hinge at the hips for proper form.
Scapular Push-Ups;Aerobic Body Building;Warm-up;Bodyweight;Full body;Stretch;Lower Back, Core;Make sure to use explosive power when needed, especially for dynamic exercises.
Dumbbell Walking Lunge;Crossfit;Mobility;Resistance Band;Lower body;Push;Biceps, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Deficit Push-Ups;Conditioning;Strength;Pull-up Bar;Upper body;Push;Hamstrings, Glutes;Stretch before and after this exercise for better mobility and recovery.
Man Makers;Crossfit;Mobility;Dumbbells;Upper body;Pull;Upper Chest, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Plank;Gymnastics;Cardio;Medicine Ball;Core;Pull;Lats, Biceps;Stretch before and after this exercise for better mobility and recovery.
Barbell Thruster;Olympic Weightlifting;Warm-up;Pull-up Bar;Full body;Pull;Biceps, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Jumping Pull-Ups;Olympic Weightlifting;Mobility;Pull-up Bar;Core;Stretch;Hamstrings, Glutes;Ensure your breathing is controlled, exhaling during the exertion phase.
Dumbbell Bench Press;Crossfit;Strength;Bodyweight;Upper body;Hold;Shoulders, Triceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Jump Rope;Conditioning;Mobility;Medicine Ball;Full body;Stretch;Glutes, Hamstrings;Maintain a strong core throughout the exercise for better stability.
Kettlebell Snatch;Olympic Weightlifting;Cardio;Pull-up Bar;Lower body;Stretch;Lats, Biceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Lateral Box Jumps;Strength;Cardio;Resistance Band;Full body;Push;Upper Chest, Shoulders;Keep your back straight and hinge at the hips for proper form.
Hang Power Clean;Aerobic Body Building;Strength;Bodyweight;Upper body;Pull;Hamstrings, Glutes;Warm-up adequately before performing this exercise to prevent injury.
Overhead Squat;Olympic Weightlifting;Warm-up;Dumbbells;Upper body;Stretch;Lats, Biceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Kettlebell Swings;Olympic Weightlifting;Warm-up;Resistance Band;Full body;Stretch;Biceps, Shoulders;Keep your back straight and hinge at the hips for proper form.
Weighted Wall Balls;Conditioning;Strength;Bodyweight;Core;Push;Hamstrings, Glutes;Keep your back straight and hinge at the hips for proper form.
Lunge Twists;Gymnastics;Strength;Medicine Ball;Core;Stretch;Hamstrings, Glutes;Maintain a strong core throughout the exercise for better stability.
Sumo Deadlift;Aerobic Body Building;Mobility;Resistance Band;Upper body;Pull;Shoulders, Triceps;Warm-up adequately before performing this exercise to prevent injury.
Lunges;Crossfit;Cardio;Kettlebell;Full body;Stretch;Shoulders, Triceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Superman Hold;Gymnastics;Strength;Barbell;Upper body;Hold;Biceps, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Front Squat;Aerobic Body Building;Strength;Resistance Band;Upper body;Hold;Shoulders, Triceps;Stretch before and after this exercise for better mobility and recovery.
Bench Press;Olympic Weightlifting;Warm-up;Bodyweight;Core;Push;Glutes, Hamstrings;Ensure your breathing is controlled, exhaling during the exertion phase.
Weighted Overhead Lunges;Gymnastics;Cardio;Medicine Ball;Full body;Stretch;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Mountain Climbers;Conditioning;Mobility;Medicine Ball;Core;Stretch;Core, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
V-Ups;Crossfit;Cardio;Bodyweight;Full body;Hold;Quads, Glutes;Stretch before and after this exercise for better mobility and recovery.
Bottom-Up Kettlebell Press;Crossfit;Cardio;Barbell;Full body;Push;Hamstrings, Glutes;Keep your back straight and hinge at the hips for proper form.
Wall Balls;Gymnastics;Strength;Medicine Ball;Lower body;Pull;Lats, Biceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Ring Rows;Olympic Weightlifting;Cardio;Pull-up Bar;Core;Pull;Shoulders, Triceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Legless Rope Climb;Crossfit;Strength;Resistance Band;Full body;Hold;Lats, Biceps;Maintain a strong core throughout the exercise for better stability.
Hollow Body Hold;Olympic Weightlifting;Mobility;Bodyweight;Lower body;Push;Lats, Biceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Barbell Thruster;Aerobic Body Building;Strength;Pull-up Bar;Upper body;Stretch;Core, Shoulders;Ensure your breathing is controlled, exhaling during the exertion phase.
Dumbbell Thrusters;Aerobic Body Building;Warm-up;Barbell;Core;Pull;Lats, Biceps;Stretch before and after this exercise for better mobility and recovery.
Lateral Kettlebell Swing;Olympic Weightlifting;Strength;Resistance Band;Full body;Pull;Lower Back, Core;Perform the movement with a full range of motion while maintaining proper posture.
Flutter Kicks;Crossfit;Warm-up;Barbell;Upper body;Push;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Bear Crawl Drags;Gymnastics;Cardio;Kettlebell;Full body;Stretch;Lower Back, Core;Make sure to use explosive power when needed, especially for dynamic exercises.
Single Arm Ring Row;Crossfit;Strength;Barbell;Lower body;Push;Upper Chest, Shoulders;Ensure your breathing is controlled, exhaling during the exertion phase.
Explosive Push-Ups;Strength;Warm-up;Dumbbells;Upper body;Push;Lower Back, Core;Keep your back straight and hinge at the hips for proper form.
Hang Power Snatch;Aerobic Body Building;Mobility;Resistance Band;Full body;Push;Glutes, Hamstrings;Perform the movement with a full range of motion while maintaining proper posture.
Reverse Hyper;Crossfit;Cardio;Pull-up Bar;Lower body;Push;Lower Back, Core;Ensure your breathing is controlled, exhaling during the exertion phase.
Pistol Squats;Aerobic Body Building;Warm-up;Resistance Band;Lower body;Stretch;Hamstrings, Glutes;Start with a lighter weight or progression if you're new to this exercise.
Lunges;Aerobic Body Building;Mobility;Dumbbells;Core;Push;Core, Shoulders;Maintain a strong core throughout the exercise for better stability.
Hollow Rock;Olympic Weightlifting;Warm-up;Medicine Ball;Core;Hold;Upper Chest, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Rower Sprints;Strength;Strength;Dumbbells;Core;Hold;Upper Chest, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Sandbag Squats;Strength;Warm-up;Medicine Ball;Upper body;Pull;Quads, Glutes;Maintain a strong core throughout the exercise for better stability.
Lateral Lunges;Strength;Mobility;Pull-up Bar;Full body;Stretch;Shoulders, Triceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Jumping Lunges;Strength;Warm-up;Bodyweight;Full body;Stretch;Core, Shoulders;Keep your back straight and hinge at the hips for proper form.
Double Unders;Strength;Mobility;Kettlebell;Full body;Push;Lats, Biceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Axle Bar Deadlift;Aerobic Body Building;Strength;Resistance Band;Lower body;Pull;Core, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Power Jerk;Aerobic Body Building;Strength;Dumbbells;Core;Pull;Hamstrings, Glutes;Start with a lighter weight or progression if you're new to this exercise.
Sled Pull;Gymnastics;Cardio;Kettlebell;Upper body;Pull;Chest, Triceps;Start with a lighter weight or progression if you're new to this exercise.
High Pull;Gymnastics;Cardio;Pull-up Bar;Full body;Hold;Chest, Triceps;Start with a lighter weight or progression if you're new to this exercise.
Back Squat;Crossfit;Mobility;Medicine Ball;Upper body;Push;Shoulders, Triceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Russian Twists;Crossfit;Warm-up;Bodyweight;Upper body;Stretch;Core, Shoulders;Make sure to use explosive power when needed, especially for dynamic exercises.
Single Arm Snatch;Aerobic Body Building;Cardio;Dumbbells;Core;Pull;Biceps, Shoulders;Keep your back straight and hinge at the hips for proper form.
Front Rack Lunge;Strength;Warm-up;Pull-up Bar;Core;Pull;Upper Chest, Shoulders;Ensure your breathing is controlled, exhaling during the exertion phase.
Explosive Push-Ups;Aerobic Body Building;Cardio;Medicine Ball;Full body;Pull;Lower Back, Core;Warm-up adequately before performing this exercise to prevent injury.
Scapular Pull-Up;Crossfit;Warm-up;Bodyweight;Full body;Stretch;Chest, Triceps;Keep your back straight and hinge at the hips for proper form.
Double KB Deadlift;Olympic Weightlifting;Warm-up;Medicine Ball;Core;Pull;Quads, Glutes;Maintain a strong core throughout the exercise for better stability.
Landmine Squats;Olympic Weightlifting;Mobility;Medicine Ball;Lower body;Pull;Hamstrings, Glutes;Keep your back straight and hinge at the hips for proper form.
Dumbbell Snatch;Strength;Strength;Barbell;Upper body;Push;Glutes, Hamstrings;Make sure to use explosive power when needed, especially for dynamic exercises.
Pallof Press;Gymnastics;Strength;Pull-up Bar;Core;Hold;Chest, Triceps;Perform the movement with a full range of motion while maintaining proper posture.
Single Arm Ring Row;Conditioning;Warm-up;Kettlebell;Core;Stretch;Biceps, Shoulders;Ensure your breathing is controlled, exhaling during the exertion phase.
Dumbbell Thrusters;Crossfit;Strength;Resistance Band;Lower body;Stretch;Glutes, Hamstrings;Warm-up adequately before performing this exercise to prevent injury.
Burpee Box Jumps;Strength;Cardio;Dumbbells;Core;Push;Lats, Biceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Prowler Push/Pull;Gymnastics;Strength;Bodyweight;Full body;Stretch;Lats, Biceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Hang Cleans;Olympic Weightlifting;Warm-up;Bodyweight;Full body;Push;Lower Back, Core;Perform the movement with a full range of motion while maintaining proper posture.
Handstand Push-ups;Aerobic Body Building;Mobility;Resistance Band;Core;Push;Quads, Glutes;Maintain a strong core throughout the exercise for better stability.
Sled Push;Conditioning;Cardio;Pull-up Bar;Lower body;Stretch;Glutes, Hamstrings;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Hang Power Snatch;Crossfit;Strength;Pull-up Bar;Upper body;Pull;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Behind the Neck Jerk;Conditioning;Strength;Bodyweight;Full body;Pull;Quads, Glutes;Start with a lighter weight or progression if you're new to this exercise.
Burpees;Gymnastics;Warm-up;Pull-up Bar;Lower body;Stretch;Glutes, Hamstrings;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Assault Bike;Conditioning;Strength;Bodyweight;Upper body;Hold;Lats, Biceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Single Arm Ring Row;Conditioning;Mobility;Bodyweight;Full body;Push;Upper Chest, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Seated Kettlebell Press;Crossfit;Mobility;Barbell;Lower body;Push;Biceps, Shoulders;Make sure to use explosive power when needed, especially for dynamic exercises.
Dumbbell Windmills;Strength;Warm-up;Bodyweight;Lower body;Hold;Upper Chest, Shoulders;Make sure to use explosive power when needed, especially for dynamic exercises.
Handstand Hold;Aerobic Body Building;Mobility;Kettlebell;Full body;Pull;Upper Chest, Shoulders;Stretch before and after this exercise for better mobility and recovery.
V-Ups;Strength;Cardio;Bodyweight;Core;Push;Biceps, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Dumbbell Windmills;Gymnastics;Strength;Barbell;Upper body;Push;Biceps, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
Zercher Squats;Aerobic Body Building;Mobility;Medicine Ball;Core;Stretch;Quads, Glutes;Make sure to use explosive power when needed, especially for dynamic exercises.
Weighted Pull-Up;Conditioning;Warm-up;Resistance Band;Upper body;Hold;Quads, Glutes;Stretch before and after this exercise for better mobility and recovery.
Prowler Push/Pull;Crossfit;Strength;Medicine Ball;Lower body;Hold;Hamstrings, Glutes;Start with a lighter weight or progression if you're new to this exercise.
Push-Up Rows;Strength;Mobility;Pull-up Bar;Upper body;Hold;Hamstrings, Glutes;Warm-up adequately before performing this exercise to prevent injury.
Incline Push-Ups;Strength;Mobility;Kettlebell;Upper body;Stretch;Biceps, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
Overhead Carries;Strength;Warm-up;Bodyweight;Core;Hold;Upper Chest, Shoulders;Maintain a strong core throughout the exercise for better stability.
Sled Pull;Crossfit;Warm-up;Pull-up Bar;Lower body;Hold;Hamstrings, Glutes;Keep your back straight and hinge at the hips for proper form.
Barbell Thruster;Strength;Cardio;Bodyweight;Full body;Pull;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Cossack Squat;Crossfit;Warm-up;Pull-up Bar;Lower body;Pull;Hamstrings, Glutes;Ensure your breathing is controlled, exhaling during the exertion phase.
Mountain Climbers;Crossfit;Warm-up;Resistance Band;Upper body;Hold;Quads, Glutes;Stretch before and after this exercise for better mobility and recovery.
Zercher Squats;Strength;Cardio;Bodyweight;Upper body;Stretch;Lower Back, Core;Make sure to use explosive power when needed, especially for dynamic exercises.
Wall Balls;Conditioning;Mobility;Kettlebell;Core;Stretch;Shoulders, Triceps;Keep your back straight and hinge at the hips for proper form.
Strict Press;Conditioning;Warm-up;Dumbbells;Core;Stretch;Chest, Triceps;Start with a lighter weight or progression if you're new to this exercise.
Dragon Flags;Crossfit;Warm-up;Pull-up Bar;Full body;Hold;Chest, Triceps;Warm-up adequately before performing this exercise to prevent injury.
Overhead Kettlebell Carry;Strength;Cardio;Kettlebell;Full body;Hold;Core, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Banded Tricep Pushdowns;Strength;Cardio;Bodyweight;Full body;Pull;Hamstrings, Glutes;Perform the movement with a full range of motion while maintaining proper posture.
Plank;Aerobic Body Building;Mobility;Bodyweight;Core;Stretch;Shoulders, Triceps;Maintain a strong core throughout the exercise for better stability.
Rope Climbs;Gymnastics;Cardio;Barbell;Full body;Push;Core, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Zercher Squats;Olympic Weightlifting;Mobility;Medicine Ball;Full body;Push;Glutes, Hamstrings;Perform the movement with a full range of motion while maintaining proper posture.
Bear Crawl;Conditioning;Cardio;Barbell;Lower body;Push;Shoulders, Triceps;Perform the movement with a full range of motion while maintaining proper posture.
Jumping Pull-Ups;Conditioning;Mobility;Bodyweight;Upper body;Hold;Shoulders, Triceps;Keep your back straight and hinge at the hips for proper form.
Push Press;Conditioning;Warm-up;Resistance Band;Lower body;Pull;Quads, Glutes;Make sure to use explosive power when needed, especially for dynamic exercises.
Deficit Deadlift;Aerobic Body Building;Strength;Medicine Ball;Upper body;Stretch;Lats, Biceps;Maintain a strong core throughout the exercise for better stability.
Bear Crawl;Strength;Strength;Medicine Ball;Upper body;Stretch;Glutes, Hamstrings;Stretch before and after this exercise for better mobility and recovery.
