,id,exercise_name,session_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
363,363,Superman Hold,Gymnastics,Strength,Barbell,Upper body,Hold,"Biceps, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
364,364,Front Squat,Aerobic Body Building,Strength,Resistance Band,Upper body,Hold,"Shoulders, Triceps",Stretch before and after this exercise for better mobility and recovery.
365,365,Bench Press,Olympic Weightlifting,Warm-up,Bodyweight,Core,Push,"Glutes, Hamstrings","Ensure your breathing is controlled, exhaling during the exertion phase."
366,366,Weighted Overhead Lunges,Gymnastics,Cardio,Medicine Ball,Full body,Stretch,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
367,367,Mountain Climbers,Conditioning,Mobility,Medicine Ball,Core,Stretch,"Core, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
368,368,V-Ups,Crossfit,Cardio,Bodyweight,Full body,Hold,"Quads, Glutes",Stretch before and after this exercise for better mobility and recovery.
369,369,Bottom-Up Kettlebell Press,Crossfit,Cardio,Barbell,Full body,Push,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
370,370,Wall Balls,Gymnastics,Strength,Medicine Ball,Lower body,Pull,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
371,371,Ring Rows,Olympic Weightlifting,Cardio,Pull-up Bar,Core,Pull,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
372,372,Legless Rope Climb,Crossfit,Strength,Resistance Band,Full body,Hold,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
373,373,Hollow Body Hold,Olympic Weightlifting,Mobility,Bodyweight,Lower body,Push,"Lats, Biceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
374,374,Barbell Thruster,Aerobic Body Building,Strength,Pull-up Bar,Upper body,Stretch,"Core, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
375,375,Dumbbell Thrusters,Aerobic Body Building,Warm-up,Barbell,Core,Pull,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
376,376,Lateral Kettlebell Swing,Olympic Weightlifting,Strength,Resistance Band,Full body,Pull,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
377,377,Flutter Kicks,Crossfit,Warm-up,Barbell,Upper body,Push,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
378,378,Bear Crawl Drags,Gymnastics,Cardio,Kettlebell,Full body,Stretch,"Lower Back, Core","Make sure to use explosive power when needed, especially for dynamic exercises."
379,379,Single Arm Ring Row,Crossfit,Strength,Barbell,Lower body,Push,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
380,380,Hang Power Snatch,Aerobic Body Building,Mobility,Resistance Band,Full body,Push,"Glutes, Hamstrings",Perform the movement with a full range of motion while maintaining proper posture.
381,381,Reverse Hyper,Crossfit,Cardio,Pull-up Bar,Lower body,Push,"Lower Back, Core","Ensure your breathing is controlled, exhaling during the exertion phase."
382,382,Pistol Squats,Aerobic Body Building,Warm-up,Resistance Band,Lower body,Stretch,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
383,383,Lunges,Aerobic Body Building,Mobility,Dumbbells,Core,Push,"Core, Shoulders",Maintain a strong core throughout the exercise for better stability.
384,384,Rower Sprints,Strength,Strength,Dumbbells,Core,Hold,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
385,385,Sandbag Squats,Strength,Warm-up,Medicine Ball,Upper body,Pull,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
386,386,Lateral Lunges,Strength,Mobility,Pull-up Bar,Full body,Stretch,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
387,387,Jumping Lunges,Strength,Warm-up,Bodyweight,Full body,Stretch,"Core, Shoulders",Keep your back straight and hinge at the hips for proper form.
388,388,Double Unders,Strength,Mobility,Kettlebell,Full body,Push,"Lats, Biceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
389,389,Axle Bar Deadlift,Aerobic Body Building,Strength,Resistance Band,Lower body,Pull,"Core, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
390,390,Back Squat,Crossfit,Mobility,Medicine Ball,Upper body,Push,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
391,391,Russian Twists,Crossfit,Warm-up,Bodyweight,Upper body,Stretch,"Core, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
392,392,Single Arm Snatch,Aerobic Body Building,Cardio,Dumbbells,Core,Pull,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
393,393,Front Rack Lunge,Strength,Warm-up,Pull-up Bar,Core,Pull,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
394,394,Explosive Push-Ups,Aerobic Body Building,Cardio,Medicine Ball,Full body,Pull,"Lower Back, Core",Warm-up adequately before performing this exercise to prevent injury.
395,395,Scapular Pull-Up,Crossfit,Warm-up,Bodyweight,Full body,Stretch,"Chest, Triceps",Keep your back straight and hinge at the hips for proper form.
396,396,Double KB Deadlift,Olympic Weightlifting,Warm-up,Medicine Ball,Core,Pull,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
397,397,Landmine Squats,Olympic Weightlifting,Mobility,Medicine Ball,Lower body,Pull,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
398,398,Dumbbell Snatch,Strength,Strength,Barbell,Upper body,Push,"Glutes, Hamstrings","Make sure to use explosive power when needed, especially for dynamic exercises."
399,399,Pallof Press,Gymnastics,Strength,Pull-up Bar,Core,Hold,"Chest, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
400,400,Single Arm Ring Row,Conditioning,Warm-up,Kettlebell,Core,Stretch,"Biceps, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
401,401,Dumbbell Thrusters,Crossfit,Strength,Resistance Band,Lower body,Stretch,"Glutes, Hamstrings",Warm-up adequately before performing this exercise to prevent injury.
402,402,Burpee Box Jumps,Strength,Cardio,Dumbbells,Core,Push,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
403,403,Hang Cleans,Olympic Weightlifting,Warm-up,Bodyweight,Full body,Push,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
404,404,Handstand Push-ups,Aerobic Body Building,Mobility,Resistance Band,Core,Push,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
405,405,Hang Power Snatch,Crossfit,Strength,Pull-up Bar,Upper body,Pull,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
406,406,Behind the Neck Jerk,Conditioning,Strength,Bodyweight,Full body,Pull,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
407,407,Burpees,Gymnastics,Warm-up,Pull-up Bar,Lower body,Stretch,"Glutes, Hamstrings","Focus on controlling the movement to avoid injury, especially when using heavy weights."
408,408,Assault Bike,Conditioning,Strength,Bodyweight,Upper body,Hold,"Lats, Biceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
409,409,Seated Kettlebell Press,Crossfit,Mobility,Barbell,Lower body,Push,"Biceps, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
410,410,Dumbbell Windmills,Strength,Warm-up,Bodyweight,Lower body,Hold,"Upper Chest, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
411,411,V-Ups,Strength,Cardio,Bodyweight,Core,Push,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
412,412,Dumbbell Windmills,Gymnastics,Strength,Barbell,Upper body,Push,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
413,413,Weighted Pull-Up,Conditioning,Warm-up,Resistance Band,Upper body,Hold,"Quads, Glutes",Stretch before and after this exercise for better mobility and recovery.
414,414,Prowler Push/Pull,Crossfit,Strength,Medicine Ball,Lower body,Hold,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
415,415,Incline Push-Ups,Strength,Mobility,Kettlebell,Upper body,Stretch,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
416,416,Overhead Carries,Strength,Warm-up,Bodyweight,Core,Hold,"Upper Chest, Shoulders",Maintain a strong core throughout the exercise for better stability.
417,417,Cossack Squat,Crossfit,Warm-up,Pull-up Bar,Lower body,Pull,"Hamstrings, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
418,418,Mountain Climbers,Crossfit,Warm-up,Resistance Band,Upper body,Hold,"Quads, Glutes",Stretch before and after this exercise for better mobility and recovery.
419,419,Strict Press,Conditioning,Warm-up,Dumbbells,Core,Stretch,"Chest, Triceps",Start with a lighter weight or progression if you're new to this exercise.
420,420,Overhead Kettlebell Carry,Strength,Cardio,Kettlebell,Full body,Hold,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
421,421,Plank,Aerobic Body Building,Mobility,Bodyweight,Core,Stretch,"Shoulders, Triceps",Maintain a strong core throughout the exercise for better stability.
422,422,Rope Climbs,Gymnastics,Cardio,Barbell,Full body,Push,"Core, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
423,423,Zercher Squats,Olympic Weightlifting,Mobility,Medicine Ball,Full body,Push,"Glutes, Hamstrings",Perform the movement with a full range of motion while maintaining proper posture.
424,424,Jumping Pull-Ups,Conditioning,Mobility,Bodyweight,Upper body,Hold,"Shoulders, Triceps",Keep your back straight and hinge at the hips for proper form.
425,425,Push Press,Conditioning,Warm-up,Resistance Band,Lower body,Pull,"Quads, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
426,426,Deficit Deadlift,Aerobic Body Building,Strength,Medicine Ball,Upper body,Stretch,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
427,427,Bear Crawl,Strength,Strength,Medicine Ball,Upper body,Stretch,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
428,428,Burpees,Crossfit,Cardio,Bodyweight,Full body,Push,"Chest, Triceps, Shoulders, Core, Legs","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
429,429,Thrusters,Crossfit,Strength,Barbell,Full body,Push,"Quads, Glutes, Shoulders, Core","Start with the barbell at shoulder height, squat down, then push through your legs and press the bar overhead in one fluid motion."
430,430,Wall Balls,Crossfit,Strength,Medicine Ball,Full body,Push,"Quads, Glutes, Shoulders, Core","Hold the medicine ball at your chest, squat, then stand and throw the ball to a target above you."
431,431,Handstand Push-ups,Gymnastics,Strength,Bodyweight,Upper body,Push,"Shoulders, Triceps, Core","Kick into a handstand position against a wall and lower your head to the floor, then press back up to full extension."
432,432,Snatch,Olympic Weightlifting,Strength,Barbell,Full body,Pull,"Hamstrings, Glutes, Shoulders, Core","Pull the barbell from the ground and lift it overhead in one motion, catching it in a squat and standing up."
433,433,Air Squats,Strength,Mobility,Kettlebell,Core,Hold,"Back, Biceps, Shoulders","Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
434,434,Ring Dips,Crossfit,Cardio,Resistance Band,Upper body,Push,"Core, Quads, Glutes","Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips."
435,435,Back Squat,Olympic Weightlifting,Mobility,Bodyweight,Core,Hold,"Chest, Shoulders, Upper Back","Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion."
436,436,Clean,Gymnastics,Warm-up,Barbell,Full body,Stretch,"Quads, Glutes, Hamstrings","Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead."
437,437,Push Jerk,Strength,Cardio,Dumbbell,Upper body,Push,"Calves, Core, Shoulders","Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner."
438,438,Strict Press,Aerobic Body Building,Strength,Kettlebell,Lower body,Pull,"Core, Lower Back","Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up."
439,439,Bench Press,Crossfit,Mobility,Medicine Ball,Core,Hold,"Chest, Triceps, Shoulders","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
440,440,Good Mornings,Conditioning,Warm-up,Resistance Band,Full body,Stretch,"Back, Biceps, Shoulders","Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
441,441,Sumo Deadlift High Pull,Olympic Weightlifting,Cardio,Pull-up Bar,Upper body,Push,"Hamstrings, Glutes, Lower Back","Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body."
442,442,Turkish Get-up,Gymnastics,Strength,Bodyweight,Lower body,Pull,"Core, Quads, Glutes","Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips."
443,443,Jump Rope,Strength,Mobility,Barbell,Core,Hold,"Lats, Biceps, Shoulders","Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly."
444,444,Windshield Wipers,Aerobic Body Building,Warm-up,Dumbbell,Full body,Stretch,"Chest, Shoulders, Upper Back","Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion."
445,445,Leg Raises,Crossfit,Cardio,Kettlebell,Upper body,Push,"Quads, Glutes, Hamstrings","Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead."
446,446,Dragon Flags,Conditioning,Strength,Medicine Ball,Lower body,Pull,"Calves, Core, Shoulders","Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner."
447,447,Power Clean,Olympic Weightlifting,Mobility,Resistance Band,Core,Hold,"Core, Lower Back","Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up."
448,448,Power Snatch,Gymnastics,Warm-up,Pull-up Bar,Full body,Stretch,"Chest, Triceps, Shoulders","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
449,449,Squat Clean,Strength,Cardio,Bodyweight,Upper body,Push,"Back, Biceps, Shoulders","Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
450,450,Overhead Lunge,Aerobic Body Building,Strength,Barbell,Lower body,Pull,"Hamstrings, Glutes, Lower Back","Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body."
451,451,Medicine Ball Slam,Crossfit,Mobility,Dumbbell,Core,Hold,"Core, Quads, Glutes","Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips."
452,452,Overhead Squats,Conditioning,Warm-up,Kettlebell,Full body,Stretch,"Lats, Biceps, Shoulders","Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly."
453,453,Front Squats,Olympic Weightlifting,Cardio,Medicine Ball,Upper body,Push,"Chest, Shoulders, Upper Back","Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion."
454,454,Rope Climb,Gymnastics,Strength,Resistance Band,Lower body,Pull,"Quads, Glutes, Hamstrings","Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead."
455,455,Toes to Bar,Strength,Mobility,Pull-up Bar,Core,Hold,"Calves, Core, Shoulders","Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner."
456,456,Pistol Squats,Crossfit,Cardio,Barbell,Upper body,Push,"Chest, Triceps, Shoulders","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
457,457,Farmer's Carry,Conditioning,Strength,Dumbbell,Lower body,Pull,"Back, Biceps, Shoulders","Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
458,458,Dumbbell Snatch,Olympic Weightlifting,Mobility,Kettlebell,Core,Hold,"Hamstrings, Glutes, Lower Back","Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body."
459,459,Muscle-ups,Gymnastics,Warm-up,Medicine Ball,Full body,Stretch,"Core, Quads, Glutes","Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips."
460,460,Sit-ups,Strength,Cardio,Resistance Band,Upper body,Push,"Lats, Biceps, Shoulders","Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly."
461,461,Air Squats,Aerobic Body Building,Strength,Pull-up Bar,Lower body,Pull,"Chest, Shoulders, Upper Back","Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion."
462,462,Double Unders,Crossfit,Mobility,Bodyweight,Core,Hold,"Quads, Glutes, Hamstrings","Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead."
463,463,Ring Dips,Conditioning,Warm-up,Barbell,Full body,Stretch,"Calves, Core, Shoulders","Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner."
464,464,Sled Push,Olympic Weightlifting,Cardio,Dumbbell,Upper body,Push,"Core, Lower Back","Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up."
465,465,Back Squat,Gymnastics,Strength,Kettlebell,Lower body,Pull,"Chest, Triceps, Shoulders","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
466,466,Clean,Strength,Mobility,Medicine Ball,Core,Hold,"Back, Biceps, Shoulders","Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
467,467,Push Jerk,Aerobic Body Building,Warm-up,Resistance Band,Full body,Stretch,"Hamstrings, Glutes, Lower Back","Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body."
468,468,Bench Press,Conditioning,Strength,Bodyweight,Lower body,Pull,"Lats, Biceps, Shoulders","Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly."
469,469,Good Mornings,Olympic Weightlifting,Mobility,Barbell,Core,Hold,"Chest, Shoulders, Upper Back","Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion."
470,470,Sumo Deadlift High Pull,Gymnastics,Warm-up,Dumbbell,Full body,Stretch,"Quads, Glutes, Hamstrings","Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead."
471,471,Turkish Get-up,Strength,Cardio,Kettlebell,Upper body,Push,"Calves, Core, Shoulders","Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner."
472,472,Windshield Wipers,Crossfit,Mobility,Resistance Band,Core,Hold,"Chest, Triceps, Shoulders","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
473,473,Leg Raises,Conditioning,Warm-up,Pull-up Bar,Full body,Stretch,"Back, Biceps, Shoulders","Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
474,474,Dragon Flags,Olympic Weightlifting,Cardio,Bodyweight,Upper body,Push,"Hamstrings, Glutes, Lower Back","Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body."
475,475,Power Clean,Gymnastics,Strength,Barbell,Lower body,Pull,"Core, Quads, Glutes","Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips."
476,476,Power Snatch,Strength,Mobility,Dumbbell,Core,Hold,"Lats, Biceps, Shoulders","Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly."
477,477,Squat Clean,Aerobic Body Building,Warm-up,Kettlebell,Full body,Stretch,"Chest, Shoulders, Upper Back","Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion."
478,478,Overhead Lunge,Crossfit,Cardio,Medicine Ball,Upper body,Push,"Quads, Glutes, Hamstrings","Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead."
479,479,Medicine Ball Slam,Conditioning,Strength,Resistance Band,Lower body,Pull,"Calves, Core, Shoulders","Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner."
480,480,Overhead Squats,Olympic Weightlifting,Mobility,Pull-up Bar,Core,Hold,"Core, Lower Back","Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up."
481,481,Front Squats,Gymnastics,Warm-up,Bodyweight,Full body,Stretch,"Chest, Triceps, Shoulders","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
482,482,Rope Climb,Strength,Cardio,Barbell,Upper body,Push,"Back, Biceps, Shoulders","Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
483,483,Toes to Bar,Aerobic Body Building,Strength,Dumbbell,Lower body,Pull,"Hamstrings, Glutes, Lower Back","Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body."
484,484,Pistol Squats,Conditioning,Warm-up,Medicine Ball,Full body,Stretch,"Lats, Biceps, Shoulders","Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly."
485,485,Farmer's Carry,Olympic Weightlifting,Cardio,Resistance Band,Upper body,Push,"Chest, Shoulders, Upper Back","Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion."
486,486,Dumbbell Snatch,Gymnastics,Strength,Pull-up Bar,Lower body,Pull,"Quads, Glutes, Hamstrings","Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead."
487,487,Muscle-ups,Strength,Mobility,Bodyweight,Core,Hold,"Calves, Core, Shoulders","Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner."
488,488,Sit-ups,Aerobic Body Building,Warm-up,Barbell,Full body,Stretch,"Core, Lower Back","Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up."
489,489,Air Squats,Crossfit,Cardio,Dumbbell,Upper body,Push,"Chest, Triceps, Shoulders","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
490,490,Double Unders,Conditioning,Strength,Kettlebell,Lower body,Pull,"Back, Biceps, Shoulders","Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
491,491,Ring Dips,Olympic Weightlifting,Mobility,Medicine Ball,Core,Hold,"Hamstrings, Glutes, Lower Back","Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body."
492,492,Back Squat,Strength,Cardio,Pull-up Bar,Upper body,Push,"Lats, Biceps, Shoulders","Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly."
493,493,Clean,Aerobic Body Building,Strength,Bodyweight,Lower body,Pull,"Chest, Shoulders, Upper Back","Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion."
494,494,Push Jerk,Crossfit,Mobility,Barbell,Core,Hold,"Quads, Glutes, Hamstrings","Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead."
495,495,Good Mornings,Gymnastics,Strength,Medicine Ball,Lower body,Pull,"Chest, Triceps, Shoulders","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
496,496,Sumo Deadlift High Pull,Strength,Mobility,Resistance Band,Core,Hold,"Back, Biceps, Shoulders","Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
497,497,Turkish Get-up,Aerobic Body Building,Warm-up,Pull-up Bar,Full body,Stretch,"Hamstrings, Glutes, Lower Back","Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body."
498,498,Jump Rope,Crossfit,Cardio,Bodyweight,Upper body,Push,"Core, Quads, Glutes","Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips."
499,499,Windshield Wipers,Conditioning,Strength,Barbell,Lower body,Pull,"Lats, Biceps, Shoulders","Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly."
500,500,Leg Raises,Olympic Weightlifting,Mobility,Dumbbell,Core,Hold,"Chest, Shoulders, Upper Back","Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion."
501,501,Dragon Flags,Gymnastics,Warm-up,Kettlebell,Full body,Stretch,"Quads, Glutes, Hamstrings","Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead."
502,502,Power Clean,Strength,Cardio,Medicine Ball,Upper body,Push,"Calves, Core, Shoulders","Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner."
503,503,Power Snatch,Aerobic Body Building,Strength,Resistance Band,Lower body,Pull,"Core, Lower Back","Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up."
504,504,Squat Clean,Crossfit,Mobility,Pull-up Bar,Core,Hold,"Chest, Triceps, Shoulders","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
505,505,Overhead Lunge,Conditioning,Warm-up,Bodyweight,Full body,Stretch,"Back, Biceps, Shoulders","Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
506,506,Medicine Ball Slam,Olympic Weightlifting,Cardio,Barbell,Upper body,Push,"Hamstrings, Glutes, Lower Back","Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body."
507,507,Overhead Squats,Gymnastics,Strength,Dumbbell,Lower body,Pull,"Core, Quads, Glutes","Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips."
508,508,Front Squats,Strength,Mobility,Kettlebell,Core,Hold,"Lats, Biceps, Shoulders","Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly."
509,509,Rope Climb,Aerobic Body Building,Warm-up,Medicine Ball,Full body,Stretch,"Chest, Shoulders, Upper Back","Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion."
510,510,Toes to Bar,Crossfit,Cardio,Resistance Band,Upper body,Push,"Quads, Glutes, Hamstrings","Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead."
511,511,Lunges,Conditioning,Strength,Pull-up Bar,Lower body,Pull,"Calves, Core, Shoulders","Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner."
512,512,Pistol Squats,Olympic Weightlifting,Mobility,Bodyweight,Core,Hold,"Core, Lower Back","Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up."
513,513,Farmer's Carry,Gymnastics,Warm-up,Barbell,Full body,Stretch,"Chest, Triceps, Shoulders","Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
514,514,Barbell Rows,Crossfit,Strength,Barbell,Upper body,Pull,"Back, Biceps",Bend over with a barbell and pull towards your abdomen.
515,515,Medicine Ball Chest Pass,Crossfit,Strength,Medicine Ball,Upper body,Push,"Chest, Triceps",Stand and pass a medicine ball from your chest to a partner.
516,516,Wall Ball Squats,Crossfit,Strength,Medicine Ball,Full body,Push,"Quads, Shoulders",Perform squats while holding a medicine ball at your chest.
517,520,Plate Russian Twists,Crossfit,Strength,Weight Plate,Core,Pull,Obliques,"Sit on the ground, lean back slightly, and twist a weight plate side to side."
518,522,Power Cleans,Crossfit,Strength,Barbell,Full body,Pull,"Legs, Back, Shoulders",Lift a barbell from the ground to your shoulders in one movement.
519,525,Walking Dumbbell Lunges,Crossfit,Strength,Dumbbells,Lower body,Push,"Quads, Glutes",Lunge forward while holding dumbbells at your sides.
520,526,Dumbbell Deadlifts,Crossfit,Strength,Dumbbells,Lower body,Pull,"Hamstrings, Glutes",Lift dumbbells from the ground while keeping your back straight.
521,527,Single-arm Dumbbell Snatch,Crossfit,Strength,Dumbbell,Full body,Pull,"Legs, Back, Shoulders",Lift a dumbbell from the ground to overhead in one motion.
522,528,Resistance Band Pull-aparts,Crossfit,Strength,Resistance Band,Upper body,Pull,"Back, Shoulders",Hold a band in front and pull it apart to activate your back muscles.
523,530,Single-arm Kettlebell Clean,Crossfit,Strength,Kettlebell,Full body,Pull,"Legs, Back, Shoulders",Lift a kettlebell from the ground to your shoulder in one fluid motion.
524,531,Plate Deadlifts,Crossfit,Strength,Weight Plate,Lower body,Pull,"Hamstrings, Glutes",Lift a weight plate from the ground with proper form.
525,532,Stability Ball Pass,Crossfit,Strength,Stability Ball,Core,Pull,Abs,Pass a stability ball between your hands and feet while lying down.
